model,conformer_id,rg_mass_weighted,rg_equal_weight,end_to_end,apr1_mean_rsa,apr2_mean_rsa,n_edges,mean_degree,graph_density,n_contacts
139,,30.096427796515368,30.06621595782258,20.603252290140972,0.6844642758369446,0.6960229873657227,337,5.184615384615385,0.04019081693500298,337
140,,38.957879289352384,38.93870848190732,104.92232967691898,0.7558003067970276,0.6385971903800964,312,4.8,0.037209302325581395,312
141,,36.33477741175446,36.30980499939438,79.66985265729136,0.6839901804924011,0.7950746417045593,317,4.876923076923077,0.037805605247465714,317
142,,18.358498190523942,18.371489796254874,30.17207625897599,0.3705102801322937,0.6493037939071655,395,6.076923076923077,0.04710793082886106,395
143,,18.35124413654998,18.33060482337564,21.88466489826366,0.2949012517929077,0.4470040500164032,378,5.815384615384615,0.04508050089445438,378
144,,44.697066208989,44.63038430565473,152.1076017506055,0.7763500213623047,0.7457917928695679,283,4.3538461538461535,0.03375074537865236,282
145,,26.840030260771968,26.856553400081744,31.557672494949493,0.7251526117324829,0.7060592770576477,351,5.4,0.04186046511627907,351
146,,25.434426459220763,25.403586625223593,30.907970823601204,0.7469903230667114,0.7596443891525269,335,5.153846153846154,0.03995229576624926,335
147,,27.855677705975776,27.78866633455732,63.89143783370781,0.5281755328178406,0.596235454082489,335,5.153846153846154,0.03995229576624926,335
148,,33.44891139084732,33.51293429037701,64.00937005306695,0.784075140953064,0.6039572954177856,327,5.030769230769231,0.038998211091234344,327
149,,26.459460942013166,26.434349818971246,45.842247466274394,0.5868802070617676,0.7202610969543457,346,5.323076923076923,0.04126416219439475,346
150,,27.236605926481428,27.269730690099383,40.92494792310337,0.5512242317199707,0.7588483095169067,335,5.153846153846154,0.03995229576624926,335
151,,38.37909554663478,38.37482909622342,64.5800201715204,0.6591029167175293,0.7386375069618225,327,5.030769230769231,0.038998211091234344,327
152,,21.43682737632156,21.466185143740205,20.649906338659694,0.6734441518783569,0.5934423208236694,347,5.338461538461538,0.04138342277877161,347
153,,33.13913888771165,33.014108139476406,86.13211164813654,0.6562795639038086,0.7378588914871216,323,4.969230769230769,0.038521168753726895,323
154,,20.696481844612002,20.698495264925864,38.50932663901488,0.6967596411705017,0.4172886312007904,381,5.861538461538461,0.045438282647584975,381
155,,37.51393490304713,37.5270073479762,50.48615596483696,0.613318920135498,0.7463734149932861,331,5.092307692307692,0.0394752534287418,331
156,,27.955927086303358,28.004415923166906,20.409610131736404,0.6101015210151672,0.7104198336601257,338,5.2,0.040310077519379844,338
157,,23.513870103804553,23.533434224669787,39.80592960307035,0.5265730023384094,0.6705377101898193,329,5.061538461538461,0.039236732259988076,329
158,,23.997011463704474,23.941660425367093,30.059625384905555,0.7693109512329102,0.4927627742290497,361,5.553846153846154,0.04305307096004771,361
159,,22.127705605194638,22.144574596545844,38.30629098130429,0.5020052790641785,0.5968258380889893,393,6.046153846153846,0.04686940966010734,393
160,,21.79889441449632,21.712421153985733,60.40128224477916,0.6570674180984497,0.6024447679519653,366,5.630769230769231,0.04364937388193202,366
161,,28.389348364582997,28.4148039436601,43.17917880529072,0.7092613577842712,0.656282365322113,301,4.630769230769231,0.035897435897435895,301
162,,21.105572670123674,21.070041975673835,27.204782139607936,0.6490478515625,0.5732008814811707,381,5.861538461538461,0.045438282647584975,381
163,,27.07946504458139,27.083017735314726,10.959405227094932,0.652290403842926,0.6736608147621155,326,5.015384615384615,0.03887895050685748,326
164,,24.479270965238456,24.47218221021456,67.05560914128023,0.6833850741386414,0.6611156463623047,328,5.046153846153846,0.039117471675611214,328
165,,29.289283167687984,29.25278404856566,35.81309036151466,0.5257862210273743,0.7785210609436035,348,5.3538461538461535,0.04150268336314848,348
166,,29.960265135979043,29.92234950573804,103.68257811586058,0.6170951724052429,0.6282986402511597,333,5.123076923076923,0.039713774597495526,333
167,,20.305152023312797,20.282734550118306,49.77347881393598,0.30803200602531433,0.5463211536407471,397,6.107692307692307,0.04734645199761479,397
168,,24.085268616054794,24.091692988989745,28.431397340952415,0.7159332036972046,0.7443036437034607,337,5.184615384615385,0.04019081693500298,337
169,,23.223355495283705,23.248260773350943,32.96663529268506,0.6061049699783325,0.7476527690887451,353,5.430769230769231,0.042098986285032794,353
170,,25.064747121569873,25.037065946201118,85.3562091496855,0.7242873311042786,0.5493907928466797,357,5.492307692307692,0.04257602862254025,357
171,,31.83673339943826,31.86845083120635,64.50645108657352,0.5891717672348022,0.6979017853736877,338,5.2,0.040310077519379844,338
172,,21.146501398174518,21.12424276535123,25.924933398685827,0.4872639775276184,0.5753251910209656,369,5.676923076923077,0.04400715563506261,369
173,,20.375705682713818,20.34046944599913,43.17103449130228,0.4667776823043823,0.43311694264411926,382,5.876923076923077,0.04555754323196184,382
